GeneSymbol	T15	T17	T18	T20	T3	T34	T39	T4	T40	T10	T11	T12	T27	T28	T30	T35	T36	T37	T38	T5	T6	T7	T8	T9
A1BG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCA7	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189	5.51582343863189
ABCA8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB10	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779	3.16912502308779
ABCB11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCB5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB6	13.4430524235755	7.27010416649248	26.390288003856	28.529506258009	21.8520888091002	8.43485358130525	5.30253035098137	38.6232359745526	6.02594700268276	8.73363806243218	25.3649782798131	26.06086569806	7.11589111099048	6.02130984956811	25.3555766491451	7.25565674296072	11.1167097758964	10.4643105305193	6.39407693348017	27.6693029129388	8.4167259785188	11.0102967907532	16.0471467180057	5.29002012909872
ABCB7	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876	3.8782045792876
